eachPopularTitle,eachPopularLink,eachPopularLink href,businessContact,businessArea,businessArea 2,directionsLocationsBlock href
Haveli Inn,Email,mailto:haveliinn@gmail.com,Invalid number,Hyderabad - 500033,Jubilee Hills,"http://www.google.com/maps/place/17.430272,78.405256"
Hotel Minerva,Website,http://yellowpages.in/hyderabad/hotels/minervahotels.in,Invalid number,Hyderabad - 500029,Himayat Nagar,"http://www.google.com/maps/place/17.402064,78.484005"
Hotel Tara International,Website,http://yellowpages.in/hyderabad/hotels/www.hoteltarainternational.com,Invalid number,Hyderabad - 500012,Begum Bazar,"http://www.google.com/maps/place/17.376346,78.475458"
Hotel Bharath Boarding & Lodging,,,+91 4065696981,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.390488,78.467531"
Hotel Deccan Heritage,Email,mailto:hoteldeccanheriage@gmail.com,+91 4024766888,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.387637,78.477694"
At Home Suites,Email,mailto:reservations@athomehyd.com,+91 9701006789,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.444378,78.36039"
Hotel Meridian Palace,,,+91 4066660777,Hyderabad - 500004,Khairatabad,"http://www.google.com/maps/place/17.405641,78.463695"
Ankithas Stay Inn,Email,mailto:anksi@gmail.com,+91 9989050149,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.447257,78.361908"
Hotel NKMs Grand,Website,http://yellowpages.in/hyderabad/hotels/www.nkmsgrand.com,Invalid number,Hyderabad - 500082,Somajiguda,"http://www.google.com/maps/place/17.417357,78.455711"
Hotel Aahwanam,,,+91 4024740301,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.38571,78.477195"
Hotel Vinflora,Email,mailto:hotelvinflora@gmail.com,+91 4023336333,Hyderabad - 500073,Sri Nagar Colony,"http://www.google.com/maps/place/17.429493,78.429605"
The Purple Leaf Hotel,Email,mailto:info@thepurpleleafhotels.com,+91 4066006600,Hyderabad - 500009,Karkhana,"http://www.google.com/maps/place/17.459228,78.500578"
Hotel Dwaraka Palace,,,+91 4023237921,Hyderabad - 500082,Somajiguda,"http://www.google.com/maps/place/17.417904,78.461498"
Hotel Tourist Palace,Email,mailto:reservations@hoteltouristpalace.in,+91 4066668686,Hyderabad - 500095,Koti,"http://www.google.com/maps/place/17.384972,78.482555"
Krishnas Residency,Email,mailto:residency.krishnas@gmail.com,+91 4023373033,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.403493,78.46325"
Hotel Swagath Grand,Email,mailto:swagathgrandhyd@gmail.com,+91 9247024446,Hyderabad - 501218,Shamshabad,"http://www.google.com/maps/place/17.241333,78.412577"
Hotel Sree Krishnaa Grand,Email,mailto:gm@hotelsreekrishnagrand.com,+91 4040020672,Hyderabad - 500049,Miyapur,"http://www.google.com/maps/place/17.496956,78.36083"
Hotel La Vista,Website,http://yellowpages.in/hyderabad/hotels/www.serenityinn.in,Invalid number,Hyderabad - 500081,Hitech City,"http://www.google.com/maps/place/17.445227,78.383424"
Hotel Sree Simran Palace,Email,mailto:srisimran.palace@gmail.com,+91 8008427871,Hyderabad - 500003,Paradise,"http://www.google.com/maps/place/17.442147,78.486607"
Hotel Tureeya Grand,Website,http://yellowpages.in/hyderabad/hotels/www.hoteltureeya.chobs.in,Invalid number,Hyderabad - 500016,Begumpet,"http://www.google.com/maps/place/17.436308,78.455923"
The Plaza Hotel,Email,mailto:sales.theplaza@tstdc.in,+91 9553855560,Hyderabad - 500016,Begumpet,"http://www.google.com/maps/place/17.44471,78.46259"
Hotel Hillpark Inn,Email,mailto:hotelhillparkinn777@gmail.com,+91 4066669551,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.402838,78.461453"
Hotel Ruma,,,+91 7842800555,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.393154,78.470788"
Mystique Marigold Hotel,Website,http://yellowpages.in/hyderabad/hotels/www.marigoldmystiquehyd.com,Invalid number,Hyderabad - 500016,Begumpet,"http://www.google.com/maps/place/17.44471,78.46259"
Hotel Gayathri Residency,Email,mailto:hotelgaayathriresiidency@yahoo.com,+91 4066742288,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.394016,78.470528"
Hotel Nacharam,,,+91 9032660159,Hyderabad - 500076,Nacharam,"http://www.google.com/maps/place/17.4361,78.5598"
Midland Lodging,,,+91 4065349729,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.390218,78.466436"
Haridwar Residency,Email,mailto:hotel_haridwar@yahoo.com,+91 9985710000,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.393,78.473"
Hotel Grand Swagath,,,+91 9293050055,Hyderabad - 500013,Ramanthapur,"http://www.google.com/maps/place/17.3919,78.5384"
Hotel Mansingh,Website,http://yellowpages.in/hyderabad/hotels/www.hotelmansingh.com,Invalid number,Hyderabad - 500012,Feelkhana,"http://www.google.com/maps/place/17.376573,78.471249"
Hotel Saraswathi Residency,Email,mailto:hotelsaraswathiresidency@gmail.com,+91 9704061111,Hyderabad - 500038,S R Nagar,"http://www.google.com/maps/place/17.442585,78.439088"
Kamat Hotel,,,+91 4024653366,Hyderabad - 500095,Koti,"http://www.google.com/maps/place/17.386116,78.477365"
Hotel Swagath Paradise,Email,mailto:swagathresidencycnr@gmail.com,+91 9246534345,Hyderabad - 500050,Chanda Nagar,"http://www.google.com/maps/place/17.495423,78.324816"
Hotel Sandhya,Email,mailto:resv@sandhyahotel.com,+91 9505507361,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
J S S Hotel,,,+91 8790741193,Hyderabad - 500016,Begumpet,"http://www.google.com/maps/place/17.443907,78.475475"
G N International Banquet Hotel,Email,mailto:info@gnhotels.in,+91 4027532911,Hyderabad - 500003,Bhoiguda,"http://www.google.com/maps/place/17.430483,78.504892"
New Gandhi Bhavan Hotel,,,+91 4024602359,Hyderabad - 500012,Osmangunj,"http://www.google.com/maps/place/17.379702,78.47555"
Hotel Tanisha Jubilee,Email,mailto:hoteltanishajubilee@gmail.com,+91 9652000555,Hyderabad - 500033,Jubilee Hills,"http://www.google.com/maps/place/17.429863,78.418085"
Hotel Danish,Email,mailto:danish@vasanthacorpo.com,+91 8008729729,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.437182,78.389919"
Hotel Coromandel Lodge,,,Invalid number,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.38917,78.475012"
Beccun Hotel,Email,mailto:reservations@hotelbeccun.com,+91 4040072372,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.44047,78.450063"
Nera Regency,Email,mailto:nerahospitality@gmail.com,+91 7675881177,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.444624,78.386088"
Best Western Ashoka Hitech City,Email,mailto:info@ashokahiteccity.com,+91 4048800222,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4521,78.392086"
Hotel Swagath Grand,Website,http://yellowpages.in/hyderabad/hotels/www.swagathgrand.com,Invalid number,Hyderabad - 500048,Attapur,"http://www.google.com/maps/place/17.36778,78.432861"
Imperial Hotel,Email,mailto:harishshahani@yahoo.co.in,+91 4023202220,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.390809,78.470908"
The Lime Boutique Suites,Email,mailto:info@thelime.in,+91 7680988977,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.450502,78.360756"
Hotel Aadaab,,,+91 4024733876,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.388724,78.470606"
